Rang,Institut,Sitz,Verband,Bilanzsumme gemäß Bilanzstatistik,Kundeneinlagen,Spareinlagen,Kundenkredite,Anzahl Mitarbeiter,Sparkassenstellen (einschließlich SB),links
1,Hamburger Sparkasse,Hamburg,HSGV,45850582,34447018,8979342,33106755,5186,194,https://www.haspa.de/de/home.html
2,Sparkasse KölnBonn,Köln,RSGV,26756221,20341310,5303201,18519614,3922,136,https://www.sparkasse-koelnbonn.de/de/home.html
3,Kreissparkasse Köln,Köln,RSGV,26163554,19389649,5745073,19916338,3969,176,https://www.ksk-koeln.de/de/home.html
4,Frankfurter Sparkasse,Frankfurt Main,SGVHT,19146177,16629605,1553458,8372878,1709,84,https://www.frankfurter-sparkasse.de/de/home.html
5,Stadtsparkasse München,München,SVB,19111868,15680349,4242820,13912104,2663,106,https://www.sskm.de/de/home.html
6,Sparkasse Hannover,Hannover,SVN,15402154,12091361,2929550,11571696,1800,98,https://www.sparkasse-hannover.de/de/home.html
7,Mittelbrandenburgische Sparkasse in Potsdam,Potsdam,OSV,13677349,11199822,4667892,6507619,1556,132,https://www.mbs.de/de/home.html
8,Sparkasse Pforzheim Calw,Pforzheim,SVBW,12445554,8205087,2034424,8438223,1881,115,https://www.sparkasse-pforzheim-calw.de/de/home.html
9,Ostsächsische Sparkasse Dresden,Dresden,OSV,12221119,10627449,3533947,6773775,1588,138,https://www.ostsaechsische-sparkasse-dresden.de/de/home.html
10,Nassauische Sparkasse,Wiesbaden,SGVHT,11853079,9059491,1623285,9046337,1652,145,https://www.naspa.de/de/home.html
11,Kreissparkasse München Starnberg Ebersberg,München,SVB,11755114,9858204,1338575,8262388,1426,99,https://www.kskmse.de/de/home.html
12,Stadtsparkasse Düsseldorf,Düsseldorf,RSGV,11698183,9181672,2170713,8538489,1831,59,https://www.sskduesseldorf.de/de/home.html
13,Die Sparkasse Bremen AG,Bremen,HSGV,11579315,8475774,2935305,9329059,1287,80,https://www.sparkasse-bremen.de/de/home.html
14,Sparkasse Aachen,Aachen,RSGV,11574803,8526415,2810260,8131151,1842,104,https://www.sparkasse-aachen.de/de/home.html
15,Sparkasse Nürnberg,Nürnberg,SVB,11469244,9220404,2144547,6750665,1914,107,https://www.sparkasse-nuernberg.de/en/home.html
16,Kreissparkasse Ludwigsburg,Ludwigsburg,SVBW,10843277,7180370,1508148,5855749,1508,94,https://www.ksklb.de/de/home.html
17,Landessparkasse zu Oldenburg,Oldenburg,SVN,9852979,7676083,2971757,7875563,1611,110,https://www.lzo.com/de/home.html
18,Sparkasse Münsterland Ost,Münster,SVWL,9536046,7212116,1898572,7054153,1204,85,https://www.sparkasse-muensterland-ost.de/de/home.html
19,Sparkasse Dortmund,Dortmund,SVWL,9369555,6904935,2529052,6272669,1561,60,https://www.sparkasse-dortmund.de/de/home.html
20,Kreissparkasse Heilbronn,Heilbronn/N.,SVBW,9326191,6749364,1841966,7058232,1541,101,https://www.sparkasse-heilbronn.de/de/home.html
21,Stadt- und Kreissparkasse Leipzig,Leipzig,OSV,9193925,8092983,2830593,4424129,1563,112,https://www.sparkasse-leipzig.de/de/home.html
22,Kreissparkasse Esslingen-Nürtingen,Esslingen,SVBW,9186468,7310636,2294931,6523215,1433,94,https://www.ksk-es.de/de/home.html
23,Sparkasse Krefeld,Krefeld,RSGV,8840574,6879003,1840362,5229856,1633,73,https://www.sparkasse-krefeld.de/de/home.html
24,Kreissparkasse Waiblingen,Waiblingen,SVBW,8668430,6480739,2133673,6519258,1372,67,https://www.kskwn.de/de/home.html
25,Kreissparkasse Böblingen,Böblingen,SVBW,8581274,5808441,1750814,6281421,1118,69,https://www.kskbb.de/en/home.html
26,Sparkasse Karlsruhe,Karlsruhe,SVBW,8575567,6306252,2242834,6215298,1380,75,https://www.sparkasse-karlsruhe.de/de/home.html
27,Sparkasse Mainfranken Würzburg,Würzburg,SVB,8491081,6915921,1566129,5684961,1589,118,https://www.sparkasse-mainfranken.de/de/home.html
28,Sparkasse Essen,Essen,RSGV,8456932,6328845,1837650,6133918,1349,53,https://www.sparkasse-essen.de/de/home.html
29,Sparkasse Westmünsterland,Ahaus,SVWL,7860998,5799441,1811656,6163116,1407,102,https://www.sparkasse-westmuensterland.de/de/home.html
30,Sparkasse Heidelberg,Heidelberg,SVBW,7807916,6145619,1255891,5314391,1181,84,https://www.sparkasse-heidelberg.de/de/home.html
31,Sparkasse Saarbrücken,Saarbrücken,SvSaar,7588830,4841599,2089885,5251596,1243,75,https://www.sparkasse-saarbruecken.de/de/home.html
32,Sparkasse Hildesheim Goslar Peine,Hildesheim,SVN,7581738,5730225,1319821,5414649,1495,86,https://www.sparkasse-hgp.de/de/home.html
33,Förde Sparkasse,Kiel,SGVSH,7466336,5760401,1187740,5834088,1299,58,https://www.foerde-sparkasse.de/en/home.html
34,Stadtsparkasse Wuppertal,Wuppertal,RSGV,7284628,5538317,1313936,5973438,1225,33,https://www.sparkasse-wuppertal.de/en/home.html
35,Sparkasse Paderborn-Detmold,Detmold,SVWL,7233243,5373103,1976861,5268712,1307,62,https://www.sparkasse-paderborn-detmold.de/de/home.html
36,Sparkasse Bochum,Bochum,SVWL,6836022,5171794,2285667,4775638,1098,49,https://www.sparkasse-bochum.de/en/home.html
37,Nord-Ostsee Sparkasse,Schleswig,SGVSH,6644564,4576671,1203989,5193737,1042,82,https://www.nospa.de/de/home.html
38,Sparkasse Osnabrück,Osnabrück,SVN,6637518,5305799,789087,5211620,1192,43,https://www.sparkasse-osnabrueck.de/de/home.html
39,Sparkasse Bielefeld,Bielefeld,SVWL,6632867,5136988,1248513,4364174,1199,47,https://www.sparkasse-bielefeld.de/de/home.html
40,Sparkasse Freiburg-Nördlicher Breisgau,Freiburg im Breisgau,SVBW,6614767,4736349,1473506,4874388,1072,53,https://www.sparkasse-freiburg.de/de/home.html
41,Sparkasse Neuss,Neuss,RSGV,6534454,5163753,1723364,5305750,1154,62,https://www.sparkasse-neuss.de/de/home.html
42,Sparkasse Holstein,Eutin,SGVSH,6521280,4726721,525966,5453356,1049,61,https://www.sparkasse-holstein.de/de/home.html
43,Sparkasse Ulm,Ulm,SVBW,6346182,4830784,1817440,4060486,1053,80,https://www.sparkasse-ulm.de/en/home.html
44,SKS Erlangen Höchstadt Herzogenaurach,Erlangen,SVB,6294557,5137745,1112461,3661425,984,63,https://www.sparkasse-erlangen.de/de/home.html
45,Sparkasse Vest Recklinghausen,Recklinghausen,SVWL,6093314,4547112,1705111,4403630,1287,68,https://www.sparkasse-re.de/de/home.html
46,Stadtsparkasse Augsburg,Augsburg,SVB,6041785,4889091,833255,4362068,1105,45,https://www.sska.de/en/home.html
47,Sparkasse Duisburg,Duisburg,RSGV,5988093,4674190,1608932,4014459,1289,53,https://www.sparkasse-duisburg.de/de/home.html
48,Kreissparkasse Göppingen,Göppingen,SVBW,5981287,4092096,1225910,4092964,1080,66,https://www.ksk-gp.de/de/home.html
49,Taunus Sparkasse,Bad Homburg v.d.H.,SGVHT,5652956,4433373,326204,4278136,811,57,https://www.taunussparkasse.de/en/home.html
50,Kasseler Sparkasse,Kassel,SGVHT,5649436,4429352,788833,3466496,1032,96,https://www.kasseler-sparkasse.de/de/home.html
51,Kreissparkasse Biberach,Biberach/Riss,SVBW,5569265,3459712,1504596,2651841,819,45,https://www.ksk-bc.de/de/home.html
52,Sparkasse Ingolstadt Eichstätt,Ingolstadt,SVB,5506615,3886395,1037512,3901287,920,48,https://www.spk-in-ei.de/de/home.html
53,Sparkasse Herford,Herford,SVWL,5324624,3941545,1395358,3417795,1002,49,https://www.sparkasse-herford.de/de/home.html
54,Kreissparkasse Reutlingen,Reutlingen,SVBW,5264571,3950288,763199,3533182,943,54,https://www.ksk-reutlingen.de/de/home.html
55,Sparkasse Rosenheim-Bad Aibling,Rosenheim,SVB,5243229,4027614,1098675,3683298,837,51,https://www.spk-ro-aib.de/de/home.html
56,Kreissparkasse Ostalb,Aalen,SVBW,5236121,4043983,970497,3371987,972,66,https://www.ksk-ostalb.de/de/home.html
57,Sparkasse Südholstein,Neumünster,SGVSH,5180992,4023832,1086313,4250726,988,39,https://www.spk-suedholstein.de/de/home.html
58,Sparkasse Vorderpfalz,Ludwigshafen a. Rh.,SVRP,5162658,4144145,704779,3930538,931,51,https://www.sparkasse-vorderpfalz.de/de/home.html
59,Kreissparkasse Tübingen,Tübingen,SVBW,5139319,3736005,1067281,3816603,879,60,https://www.ksk-tuebingen.de/de/home.html
60,Stadtsparkasse Mönchengladbach,Mönchengladbach,RSGV,4961266,3858095,1861120,3235109,878,30,https://www.sparkasse-moenchengladbach.de/de/home.html
61,Sparkasse Rhein Neckar Nord,Mannheim,SVBW,4884784,3454075,957412,2841264,863,44,https://www.sparkasse-rhein-neckar-nord.de/en/home.html
62,Sparkasse Oberhessen,Friedberg,SGVHT,4773056,3693313,744680,3359002,895,68,https://www.sparkasse-oberhessen.de/de/home.html
63,Kreissparkasse Ravensburg,Ravensburg,SVBW,4755512,3766545,1750207,3197495,816,44,https://www.kreissparkasse-ravensburg.de/de/home.html
64,Stadt- und Kreissparkasse Darmstadt,Darmstadt,SGVHT,4736673,3756435,758639,3653405,794,44,https://www.sparkasse-darmstadt.de/en/home.html
65,Sparkasse Hanau,Hanau,SGVHT,4716559,2968445,654609,2988841,664,37,https://www.sparkasse-hanau.de/de/home.html
66,Sparkasse Rhein-Nahe,Bad Kreuznach,SVRP,4705846,3556251,1005755,3245250,720,53,https://www.sparkasse-rhein-nahe.de/de/home.html
67,Saalesparkasse,Halle (Saale),OSV,4690843,3926374,1018251,2418208,744,79,https://www.saalesparkasse.de/de/home.html
68,Sparkasse Koblenz,Koblenz,SVRP,4690733,3540538,531379,3531137,800,50,https://www.sparkasse-koblenz.de/de/home.html
69,Erzgebirgssparkasse,Annaberg-Buchholz,OSV,4636021,3967504,1684534,2240774,837,87,https://www.erzgebirgssparkasse.de/en/home.html
70,Sparkasse Allgäu,Kempten,SVB,4627652,3474209,659041,2867954,891,61,https://www.sparkasse-allgaeu.de/de/home.html
71,Sparkasse Trier,Trier,SVRP,4602954,3388639,1221588,3778229,873,76,https://www.sparkasse-trier.de/de/home.html
72,Sparkasse Aschaffenburg-Alzenau,Aschaffenburg,SVB,4598653,3706010,830671,3110667,828,59,https://www.spk-aschaffenburg.de/de/home.html
73,Kreissparkasse Steinfurt,Ibbenbüren,SVWL,4588579,2828061,852107,3358095,775,47,https://www.ksk-steinfurt.de/de/home.html
74,Sparkasse Bodensee,Friedrichshafen,SVBW,4548440,3376022,833193,3344298,763,44,https://www.sparkasse-bodensee.de/en/home.html
75,Sparkasse Chemnitz,Chemnitz,OSV,4539106,3808435,1754973,1601454,607,67,https://www.spk-chemnitz.de/de/home.html
76,Sparkasse Offenburg/Ortenau,Offenburg,SVBW,4533329,3316906,1388391,2788119,772,50,https://www.sparkasse-offenburg.de/de/home.html
77,Sparkasse Memmingen- Lindau-Mindelheim,Memmingen,SVB,4436567,3376140,1036393,2627094,686,69,https://www.spk-mm-li-mn.de/de/home.html
78,Sparkasse Regensburg,Regensburg,SVB,4429184,3605228,934818,2916348,697,48,https://www.sparkasse-regensburg.de/de/home.html
79,Sparkasse Mittelthüringen,Erfurt,SGVHT,4397781,3521092,1450189,2415239,790,61,https://www.sparkasse-mittelthueringen.de/de/home.html
80,Sparkasse Ansbach,Ansbach,SVB,4378942,3276165,1099641,2394171,830,66,https://www.sparkasse-ansbach.de/de/home.html
81,Sparkasse Rhein-Haardt,Bad Dürkheim,SVRP,4286861,3390291,885934,2684438,645,45,https://www.sparkasse-rhein-haardt.de/de/home.html
82,Sparkasse Niederbayern Mitte,Straubing,SVB,4261982,3244177,902353,3073770,735,49,https://www.sparkasse-niederbayern-mitte.de/de/home.html
83,Sparkasse Schweinfurt-Haßberge,Schweinfurt,SVB,4261926,3441561,1011380,2420410,796,64,https://www.sparkasse-sw-has.de/de/home.html
84,Sparkasse Kraichgau,Bruchsal,SVBW,4227994,3220764,1055924,2222536,701,58,https://www.sparkasse-kraichgau.de/de/home.html
85,OstseeSparkasse Rostock,Rostock,OSV,4226053,3385643,1068468,2854842,668,53,https://www.ospa.de/en/home.html
86,Sparkasse Landshut,Landshut,SVB,4207407,3194629,1003142,2346867,772,44,https://www.sparkasse-landshut.de/de/home.html
87,Sparkasse Bamberg,Bamberg,SVB,4103245,3326524,1000166,2605242,815,48,https://www.sparkasse-bamberg.de/en/home.html
88,Sparkasse Vorpommern,Hansestadt Greifswald,OSV,4072589,3515739,1389801,2060153,635,81,https://www.spk-vorpommern.de/de/home.html
89,Sparkasse Düren,Düren,RSGV,4041532,3093545,1318995,3072906,681,42,https://www.sparkasse-dueren.de/en/home.html
90,Sparkasse Harburg-Buxtehude,Hamburg,SVN,4032524,3116417,1112417,3405764,685,47,https://www.spkhb.de/de/home.html
91,Sparkasse Fürstenfeldbruck,Fürstenfeldbruck,SVB,3974409,3189171,811620,2882406,709,25,https://www.sparkasse-ffb.de/de/home.html
92,Weser-Elbe Sparkasse,Bremerhaven,SVN/HSGV,3944876,2755834,1021446,3197246,834,40,https://www.wespa.de/en/home.html
93,Sparkasse Siegen,Siegen,SVWL,3937954,3074598,1095087,2986604,837,47,https://www.sparkasse-siegen.de/en/home.html
94,Sparkasse Marburg-Biedenkopf,Marburg,SGVHT,3925867,3097250,1590922,2346555,825,47,https://www.skmb.de/de/home.html
95,Kreissparkasse Saarlouis,Saarlouis,SvSaar,3873688,2818982,580883,2877849,768,52,https://www.ksk-saarlouis.de/de/home.html
96,Sparkasse Mittelfranken-Süd,Roth,SVB,3827250,3153195,1073763,2403843,758,42,https://www.sparkasse-mittelfranken-sued.de/de/home.html
97,Sparkasse Gifhorn-Wolfsburg,Gifhorn,SVN,3806966,3237716,727686,2387601,674,43,https://www.spk-gifhorn-wolfsburg.de/de/home.html
98,Kreissparkasse Kaiserslautern,Kaiserslautern,SVRP,3799711,2950913,998736,2915043,651,46,https://www.kskkl.de/de/home.html
99,Sparkasse Spree-Neiße,Cottbus,OSV,3748458,3033606,1575173,1043021,397,38,https://www.sparkasse-spree-neisse.de/de/home.html
100,Sparkasse Oberlausitz-Niederschlesien,Zittau,OSV,3745659,3201851,1544190,981054,509,42,https://www.sparkasse-oberlausitz-niederschlesien.de/de/home.html
101,Sparkasse Fulda,Fulda,SGVHT,3740417,2967270,694584,1965518,727,36,https://www.sparkasse-fulda.de/de/home.html
102,Kreissparkasse Tuttlingen,Tuttlingen,SVBW,3731970,2408637,607821,2417919,528,32,https://www.ksk-tut.de/de/home.html
103,Sparkasse Westholstein,Itzehoe,SGVSH,3727791,2714550,1271806,3045034,643,36,https://www.spk-westholstein.de/de/home.html
104,Sparkasse Schwarzwald-Baar,Villingen-Schwenningen,SVBW,3684047,2682586,1074505,2203499,662,49,https://www.spk-swb.de/en/home.html
105,Sparkasse Emsland,Meppen,SVN,3679584,2651120,555403,2862431,790,56,https://www.sparkasse-emsland.de/de/home.html
106,Kreissparkasse Augsburg,Augsburg,SVB,3608378,2747700,1207706,2714876,515,40,https://www.kreissparkasse-augsburg.de/de/home.html
107,Sparkasse Hochfranken,Selb,SVB,3600754,2749734,991790,1671469,739,48,https://www.sparkasse-hochfranken.de/de/home.html
108,Kreissparkasse Heinsberg,Erkelenz,RSGV,3593383,2524358,1001152,2716862,610,51,https://www.kreissparkasse-heinsberg.de/de/home.html
109,Kreissparkasse Syke,Syke,SVN,3592640,2360601,762448,3109821,615,30,https://www.ksk-syke.de/de/home.html
110,Sparkasse Fürth,Fürth,SVB,3528157,2752156,566723,2365827,693,33,https://www.sparkasse-fuerth.de/de/home.html
111,Sparkasse Zollernalb,Balingen,SVBW,3514272,2718881,1076595,2077817,675,50,https://www.sparkasse-zollernalb.de/de/home.html
112,Sparkasse Hilden-Ratingen-Velbert,Velbert,RSGV,3499497,2854698,1122559,2418941,688,27,https://www.sparkasse-hrv.de/de/home.html
113,Sparkasse Langen-Seligenstadt,Seligenstadt,SGVHT,3468200,2698366,459075,2500786,655,43,https://www.sls-direkt.de/de/home.html
114,Sparkasse Schwäbisch Hall Crailsheim,Schwäbisch Hall,SVBW,3435843,2170089,501448,2234144,546,37,https://www.sparkasse-sha.de/de/home.html
115,Sparkasse Göttingen,Göttingen,SVN,3417900,2518245,726532,2657993,675,40,https://www.spk-goettingen.de/de/home.html
116,Sparkasse Leverkusen,Leverkusen,RSGV,3372082,2602784,722885,2916170,544,19,https://www.sparkasse-lev.de/de/home.html
117,Sparkasse am Niederrhein,Moers,RSGV,3337969,2632799,685013,2454343,642,31,https://www.sparkasse-am-niederrhein.de/de/home.html
118,Kreissparkasse Groß-Gerau,Groß-Gerau,SGVHT,3331915,2535771,467569,2558629,589,36,https://www.kskgrossgerau.de/de/home.html
119,Sparkasse Westerwald-Sieg,Bad Marienberg,SVRP,3329406,2660184,713426,2359323,619,51,https://www.sk-westerwald-sieg.de/de/home.html
120,Sparkasse Vogtland,Plauen,OSV,3323458,2673814,1383511,1735530,526,43,https://www.sparkasse-vogtland.de/de/home.html
121,Sparkasse Gelsenkirchen,Gelsenkirchen,SVWL,3308038,2582310,975815,1929626,760,33,https://www.sparkasse-gelsenkirchen.de/de/home.html
122,Hegau-Bodensee,Singen,SVBW,3285501,2159658,877298,2258100,548,25,https://www.sparkasse-hegau-bodensee.de/de/home.html
123,Sparkasse Dachau,Dachau,SVB,3247324,2408506,406392,2565468,491,36,https://www.sparkasse-dachau.de/de/home.html
124,Spk.Rotenburg Osterholz,Zeven,SVN,3229655,2499918,866536,2242515,706,50,https://www.spk-row-ohz.de/de/home.html
125,Sparkasse HagenHerdecke,Hagen,SVWL,3226301,2213236,737737,2213980,526,31,https://www.sparkasse-hagenherdecke.de/de/home.html
126,Sparkasse Passau,Passau,SVB,3197718,2494721,906575,1950275,610,33,https://www.sparkasse-passau.de/de/home.html
127,Kreissparkasse Herzogtum Lauenburg,Ratzeburg,SGVSH,3188252,2129638,391850,2499789,609,33,https://www.ksk-ratzeburg.de/de/home.html
128,Sparkasse Lemgo,Lemgo,SVWL,3165331,2272909,827932,2438523,540,25,https://www.sparkasse-lemgo.de/de/home.html
